year,avg_yearly_income_us
2021,70784
2020 ,68010.2837092732
2019,68702.74808270678
2018,63179.264160401
2017 ,61135.666666666664
2017,61371.80952380952
2016,59039.057142857135
2015,56515.67894736841
2014,53657.4045112782
2013 ,51938.966165413534
2012,51016.63533834586
2011,50053.76942355889
2010,49275.75338345864
2009,49777.110776942354
2008,50302.79824561404
2007,50233.04411027569
2006,48201.1679197995
2005,46326.080952380944
2004,44333.92857142857
2003,43318.00350877192
2002,42409.06616541353
2001,42228.11503759399
2000,41990.27368421052
1999,40696.167919799496
1998,38884.835839599
1997,37004.935338345866
1996,35492.08646616542
1995,34076.2015037594
1994,32263.909774436088
1993,31241.01879699248
1992,30635.991478696742
1991,30126.05438596491
1990,29942.91478696742
1989,28905.904260651627
1988,27225.01378446115
1987,26061.217042606517
